campaign_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,audience_type,platform,country
Campaign A,2025-01-01,100,10000,120,0.012,10,500,5,Image,Broad,Facebook,US
Campaign B,2025-01-01,80,8000,72,0.009,6,360,4.5,Video,Retargeting,Instagram,US
Campaign C,2025-01-01,50,4000,80,0.02,4,200,4,UGC,Lookalike,Facebook,US
Campaign D,2025-01-02,120,12000,180,0.015,12,720,6,Image,Broad,Facebook,US
Campaign E,2025-01-02,90,9000,90,0.01,7,450,5,Video,Retargeting,Instagram,US
Campaign F,2025-01-03,70,7000,70,0.01,5,350,5,Image,Broad,Facebook,US
Campaign G,2025-01-03,110,11000,220,0.02,15,1100,10,UGC,Lookalike,Facebook,US
Campaign H,2025-01-03,60,6000,48,0.008,3,150,2.5,Image,Broad,Instagram,US
Campaign I,2025-01-04,95,9500,95,0.01,8,475,5,Video,Retargeting,Facebook,US
Campaign J,2025-01-04,85,8500,85,0.01,7,425,5,UGC,Lookalike,Facebook,US
# (repeat entries to reach ~120 rows)
